Sim Name,age_effect,initial_effect,final_effect,mort_effect,prod_effect,fert_effect,pop_diffs_2045_2065,pop_diffs_2026_2100,pop_diffs_2050,total_pop_diff_2050,avg_diff,avg_gdp_pc_diff,discount_rate,NPV,"QALY 20, $B","QALY NPV, $T"
"1st Gen, High",65,5,10,0.096,0.08,0.0,6.035392175526317,19.093594460362972,0.29365215993140903,0.29365215993140914,42.32356249823823,-24.16109340745468,0.05,0.6554903951755282,48.37802595465655,0.4715874652355083
"1st Gen, High",65,5,10,0.096,0.08,0.0,6.035392175526317,19.093594460362972,0.29365215993140903,0.29365215993140914,42.32356249823823,-24.16109340745468,0.06,0.46783526200408637,48.37802595465655,0.3523785361192673
"1st Gen, Low",65,5,10,0.085,0.08,0.0,5.340342984761564,16.89480643839964,0.25984793322828026,0.25984793322828026,38.87589582438338,-16.26482321454456,0.01,4.178254513183238,42.80663176400794,1.7459210654883361
"1st Gen, Low",65,5,10,0.085,0.08,0.0,5.340342984761564,16.89480643839964,0.25984793322828026,0.25984793322828026,38.87589582438338,-16.26482321454456,0.02,2.342614747410281,42.80663176400794,1.1664920203222016
"1st Gen, Low",65,5,10,0.085,0.08,0.0,5.340342984761564,16.89480643839964,0.25984793322828026,0.25984793322828026,38.87589582438338,-16.26482321454456,0.03,1.4069478042689434,42.80663176400794,0.8047467836584293
"1st Gen, Low",65,5,10,0.085,0.08,0.0,5.340342984761564,16.89480643839964,0.25984793322828026,0.25984793322828026,38.87589582438338,-16.26482321454456,0.035,1.1178603302578753,42.80663176400794,0.6759860226361161
"1st Gen, Low",65,5,10,0.085,0.08,0.0,5.340342984761564,16.89480643839964,0.25984793322828026,0.25984793322828026,38.87589582438338,-16.26482321454456,0.04,0.9021600727952933,42.80663176400794,0.5718381886428192
"1st Gen, Low",65,5,10,0.085,0.08,0.0,5.340342984761564,16.89480643839964,0.25984793322828026,0.25984793322828026,38.87589582438338,-16.26482321454456,0.05,0.6132930370908537,42.80663176400794,0.41731562672705347
"1st Gen, Low",65,5,10,0.085,0.08,0.0,5.340342984761564,16.89480643839964,0.25984793322828026,0.25984793322828026,38.87589582438338,-16.26482321454456,0.06,0.43802268747134493,42.80663176400794,0.3118315190693246
"1st Gen 18.5pct, high",65,5,10,0.16,0.13,0.0,10.097427000260138,31.943483309605583,0.49114215745499135,0.49114215745499135,81.87023772691404,-3.296168899842693,0.01,7.6106326496868775,80.93897858458261,3.300739756625078
"1st Gen 18.5pct, high",65,5,10,0.16,0.13,0.0,10.097427000260138,31.943483309605583,0.49114215745499135,0.49114215745499135,81.87023772691404,-3.296168899842693,0.02,4.30796965687004,80.93897858458261,2.2050617135044646
"1st Gen 18.5pct, high",65,5,10,0.16,0.13,0.0,10.097427000260138,31.943483309605583,0.49114215745499135,0.49114215745499135,81.87023772691404,-3.296168899842693,0.03,2.6109120273767816,80.93897858458261,1.5210603016839677
"1st Gen 18.5pct, high",65,5,10,0.16,0.13,0.0,10.097427000260138,31.943483309605583,0.49114215745499135,0.49114215745499135,81.87023772691404,-3.296168899842693,0.035,2.0827733352214977,80.93897858458261,1.277608842563702
"1st Gen 18.5pct, high",65,5,10,0.16,0.13,0.0,10.097427000260138,31.943483309605583,0.49114215745499135,0.49114215745499135,81.87023772691404,-3.296168899842693,0.04,1.6867812279771601,80.93897858458261,1.0807017856404104
"1st Gen 18.5pct, high",65,5,10,0.16,0.13,0.0,10.097427000260138,31.943483309605583,0.49114215745499135,0.49114215745499135,81.87023772691404,-3.296168899842693,0.05,1.1526914075878407,80.93897858458261,0.7885724536817204
"1st Gen 18.5pct, high",65,5,10,0.16,0.13,0.0,10.097427000260138,31.943483309605583,0.49114215745499135,0.49114215745499135,81.87023772691404,-3.296168899842693,0.06,0.8255368700374535,80.93897858458261,0.589170657110771
"1st Gen 18.5pct, low",65,5,10,0.142,0.13,0.0,8.951844442992831,28.319594498656638,0.4354577885658253,0.4354577885658253,76.18951927719309,9.722626835789665,0.01,7.140072539074218,71.7560121450313,2.9263497985539657
"1st Gen 18.5pct, low",65,5,10,0.142,0.13,0.0,8.951844442992831,28.319594498656638,0.4354577885658253,0.4354577885658253,76.18951927719309,9.722626835789665,0.02,4.042108782066846,71.7560121450313,1.9550018847238981
"1st Gen 18.5pct, low",65,5,10,0.142,0.13,0.0,8.951844442992831,28.319594498656638,0.4354577885658253,0.4354577885658253,76.18951927719309,9.722626835789665,0.03,2.450530248184665,71.7560121450313,1.3486067404625706
"1st Gen 18.5pct, low",65,5,10,0.142,0.13,0.0,8.951844442992831,28.319594498656638,0.4354577885658253,0.4354577885658253,76.18951927719309,9.722626835789665,0.035,1.9552830711817335,71.7560121450313,1.1327740648552402
"1st Gen 18.5pct, low",65,5,10,0.142,0.13,0.0,8.951844442992831,28.319594498656638,0.4354577885658253,0.4354577885658253,76.18951927719309,9.722626835789665,0.04,1.583976781438235,71.7560121450313,0.9582037563617501
